view,scope,element_id,category,near_face_w,fpp,export_dpi,view_scale,cap_applied,pad_x,pad_y,px_count,px_w,px_h,ref_du_ft,ref_dv_ft,ref_aspect,exc_umin_ft,exc_umax_ft,exc_vmin_ft,exc_vmax_ft,worst_ft,worst_px,clipped,touches_image_edge
Elevation 5 - a_630733,host,532538,Walls,-6.571906861087136,0.05308975216840869,150.0,96.0,False,1.8065277539409408,0.0,37599,804,83,146.1387182828778,10.0,14.61387182828778,-102.50454883570174,-0.9500087037754525,-0.4395545848373388,-5.153995985184736,-0.4395545848373388,-8.279461984358214,True,True
Elevation 5 - a_630733,host,533813,Roofs,-17.696973613978663,0.05308975216840869,150.0,96.0,False,1.8065277539409408,0.0,12,2,7,52.701707138627015,0.3333333333333286,158.1051214158833,-44.8125023261112,-7.783025308178992,-0.03396315982924136,0.07225809167476882,0.07225809167476882,1.3610553585851235,True,False
Elevation 5 - a_630733,host,549792,Walls,24.201717539734286,0.05308975216840869,150.0,96.0,False,1.8065277539409408,0.0,17,17,1,4.287328430808685,13.75,0.31180570405881347,-1.7485033018406781,-1.6362993421050618,-13.75,0.05308975216840395,0.05308975216840395,0.9999999999999107,True,True
Elevation 5 - a_630733,host,550964,Walls,-4.239488142793382,0.05308975216840869,150.0,96.0,False,1.8065277539409408,0.0,369,2,185,70.20423658928718,10.0,7.020423658928718,-34.53875714888048,-35.55929993606989,-0.25,0.07160415115561136,0.07160415115561136,1.3487377173747621,True,True
Elevation 5 - a_630733,host,553331,Walls,-4.2391619713906605,0.05308975216840869,150.0,96.0,False,1.8065277539409408,0.0,378,2,190,18.250171221672105,10.0,1.8250171221672105,-8.547502448207771,-9.596489269127524,-0.018514398987193204,0.10556731098485272,0.10556731098485272,1.988468709553914,True,False
Elevation 5 - a_630733,host,554691,Walls,-4.2391619713906605,0.05308975216840869,150.0,96.0,False,1.8065277539409408,0.0,189,2,95,18.250171221672105,12.0,1.5208476018060086,-8.547502448207771,-9.596489269127524,-0.052477558816434566,-6.903995985184736,-0.052477558816434566,-0.9884687095537356,True,True
Elevation 5 - a_630733,host,594546,Curtain Wall Mullions,-1.8494415800250898,0.05308975216840869,150.0,96.0,False,1.8065277539409408,0.0,17,4,5,1.4253761543777586,0.2083333333333428,6.8418055410129295,-0.7953771412436765,-0.417640004460452,0.031857558879195835,0.025257868629509517,0.031857558879195835,0.6000698360417819,True,False
Elevation 5 - a_630733,host,627114,Walls,4.598279067906824,0.05308975216840869,150.0,96.0,False,1.8065277539409408,0.0,169,1,169,9.529757292905778,9.0,1.0588619214339754,-4.719824467932661,-4.756843072804706,0.0,-0.027831883538937063,0.0,0.0,False,True
Elevation 5 - a_630733,host,627115,Walls,2.3911102195262055,0.05308975216840869,150.0,96.0,False,1.8065277539409408,0.0,31789,187,170,9.93691591435995,9.0,1.1041017682622167,-0.018148804904818405,0.009016546037294404,0.0,0.025257868629481095,0.025257868629481095,0.4757578929613258,False,True
Elevation 5 - a_630733,host,627116,Walls,4.596258062693472,0.05308975216840869,150.0,96.0,False,1.8065277539409408,0.0,168,1,168,9.92119146229087,9.0,1.1023546069212078,-4.969009583939894,-4.899092126182566,-0.05308975216840395,-0.027831883538937063,-0.027831883538937063,-0.5242421070388525,False,False
Elevation 5 - a_630733,host,627131,Walls,4.598279067906824,0.05308975216840869,150.0,96.0,False,1.8065277539409408,0.0,169,1,169,9.529757292905778,9.0,1.0588619214339754,-4.719824467932661,-4.756843072804706,-0.03396315982924136,0.0061312762903042994,0.0061312762903042994,0.11548888514029916,False,False
Elevation 5 - a_630733,host,627132,Walls,2.3911102195262055,0.05308975216840869,150.0,96.0,False,1.8065277539409408,0.0,31787,187,170,9.93691591435995,9.0,1.1041017682622167,-0.018148804904818405,0.009016546037294404,0.019126592339162585,0.0061312762903042994,0.019126592339162585,0.360269007820759,False,False
Elevation 5 - a_630733,host,627133,Walls,4.596258062693472,0.05308975216840869,150.0,96.0,False,1.8065277539409408,0.0,172,2,170,10.029923176008975,9.0,1.1144359084454416,-4.970196554620365,-4.953547117051794,0.019126592339162585,0.0061312762903042994,0.019126592339162585,0.360269007820759,False,False
Elevation 5 - a_630733,host,627927,Walls,4.598279067906824,0.05308975216840869,150.0,96.0,False,1.8065277539409408,0.0,92,1,92,9.529757292905778,9.0,1.0588619214339754,-4.719824467932661,-4.756843072804706,0.03825318467833938,-4.153995985184736,0.03825318467833938,0.7205380156417857,True,True
Elevation 5 - a_630733,host,627928,Walls,2.3911102195262055,0.05308975216840869,150.0,96.0,False,1.8065277539409408,0.0,17203,187,92,9.93691591435995,9.0,1.1041017682622167,-0.018148804904818405,0.009016546037294404,0.03825318467833938,-4.153995985184736,0.03825318467833938,0.7205380156417857,True,True
Elevation 5 - a_630733,host,627929,Walls,4.596258062693472,0.05308975216840869,150.0,96.0,False,1.8065277539409408,0.0,91,1,91,10.029923176008975,9.0,1.1144359084454416,-5.023286306788769,-4.953547117051794,-0.014836567490078778,-4.153995985184736,-0.014836567490078778,-0.2794619843583928,True,True
Elevation 5 - a_630733,host,630576,Generic Models,26.243967393128887,0.05308975216840869,150.0,96.0,False,1.8065277539409408,0.0,6571,50,468,27.957267801783228,29.000000000000142,0.9640437173028652,-12.890618854141508,-12.412161339221282,-1.4210854715202004e-13,-4.153995985184736,-1.4210854715202004e-13,-2.6767604169865087e-12,True,True
Elevation 5 - a_630733,host,636079,Walls,26.90380511987736,0.05308975216840869,150.0,96.0,False,1.8065277539409408,0.0,1,1,1,35.39218423089925,9.0,3.9324649145443606,-17.6176625879868,-17.72143189074403,-8.972168116461063,0.025257868629481095,0.025257868629481095,0.4757578929613258,False,False
Elevation 5 - a_630733,host,651428,Generic Models,-8.171505273535969,0.05308975216840869,150.0,96.0,False,1.8065277539409408,0.0,94878,844,468,146.31694271378296,43.750000000000014,3.344387262029324,-101.17415011695826,-0.335041766687759,-13.750000000000014,-5.153995985184736,-0.335041766687759,-6.310855730216183,True,True
Elevation 5 - a_630733,host,655472,Floors,-9.823844318116018,0.05308975216840869,150.0,96.0,False,1.8065277539409408,0.0,205,842,19,201.87953883095608,1.0,201.87953883095608,-124.61035542403546,-32.567612081120515,0.027831883538937063,-0.019126592339162585,0.027831883538937063,0.5242421070388525,True,False
Elevation 5 - a_630733,host,680623,Windows,25.259002484823146,0.05308975216840869,150.0,96.0,False,1.8065277539409408,0.0,2490,30,83,2.951788558337114,6.000000000000014,0.49196475972285114,-1.1100053762800997,-0.24909061700475377,-0.022887918171008437,-1.5706626518510802,-0.022887918171008437,-0.431117442372014,True,True
Elevation 5 - a_630733,host,680624,Windows,25.259002484823146,0.05308975216840869,150.0,96.0,False,1.8065277539409408,0.0,3360,30,112,2.951788558337114,6.000000000000014,0.49196475972285114,-1.1100053762800997,-0.24909061700475377,-0.04201451051018523,-0.011933246628061056,-0.011933246628061056,-0.22477495449982515,True,False
Elevation 5 - a_630733,host,680680,Windows,25.252812412286847,0.05308975216840869,150.0,96.0,False,1.8065277539409408,0.0,3818,46,83,2.951788558337114,6.000000000000014,0.49196475972285114,-0.2549319424722398,-0.25472801611806517,-0.02288791817103686,-1.5706626518510518,-0.02288791817103686,-0.43111744237254934,True,True
Elevation 5 - a_630733,host,680681,Windows,25.252812412286847,0.05308975216840869,150.0,96.0,False,1.8065277539409408,0.0,5152,46,112,2.951788558337114,6.000000000000014,0.49196475972285114,-0.2549319424722398,-0.25472801611806517,-0.042014510510213654,-0.011933246628032634,-0.011933246628032634,-0.2247749544992898,False,False
Elevation 5 - a_630733,host,680772,Windows,25.25281241228685,0.05308975216840869,150.0,96.0,False,1.8065277539409408,0.0,5152,46,112,2.951788558337114,6.0,0.4919647597228523,-0.25493194247225404,-0.25472801611805096,-0.00805135068063123,-0.045896406457586636,-0.00805135068063123,-0.151655458008,False,False
Elevation 5 - a_630733,host,680897,Windows,25.24662233975056,0.05308975216840869,150.0,96.0,False,1.8065277539409408,0.0,3818,46,83,2.951788558337107,6.000000000000014,0.49196475972285,-0.24929454335896395,-0.26036541523134105,-0.02288791817106528,-1.5706626518510234,-0.02288791817106528,-0.4311174423730847,True,True
Elevation 5 - a_630733,host,680898,Windows,25.24662233975056,0.05308975216840869,150.0,96.0,False,1.8065277539409408,0.0,5152,46,112,2.951788558337107,6.000000000000014,0.49196475972285,-0.24929454335896395,-0.26036541523134105,-0.042014510510242076,-0.011933246628004213,-0.011933246628004213,-0.22477495449875445,False,False
Elevation 5 - a_630733,host,680899,Windows,25.24662233975056,0.05308975216840869,150.0,96.0,False,1.8065277539409408,0.0,5152,46,112,2.951788558337107,6.0,0.49196475972285114,-0.24929454335899237,-0.2603654152313126,-0.008051350680659652,-0.045896406457558214,-0.008051350680659652,-0.15165545800853536,False,False
Elevation 5 - a_630733,host,680957,Windows,25.24043226721426,0.05308975216840869,150.0,96.0,False,1.8065277539409408,0.0,3818,46,83,2.951788558337121,6.000000000000014,0.49196475972285236,-0.24365714424563834,-0.266002814344688,-0.022887918171093702,-1.570662651850995,-0.022887918171093702,-0.43111744237362004,True,True
